city,state_id,state_name,lat,lng,population
Hueytown,AL,Alabama,33.4237,-87.022,15322
Calera,AL,Alabama,33.1249,-86.745,14717
Saraland,AL,Alabama,30.8478,-88.1004,14649
Muscle Shoals,AL,Alabama,34.7436,-87.6344,14575
Hartselle,AL,Alabama,34.4391,-86.94,14466
Gardendale,AL,Alabama,33.6678,-86.8069,14177
Chelsea,AL,Alabama,33.3255,-86.6299,14126
Talladega,AL,Alabama,33.4329,-86.0976,13304
Jasper,AL,Alabama,33.8503,-87.2708,13248
Moody,AL,Alabama,33.5986,-86.4963,13065
Irondale,AL,Alabama,33.544,-86.6599,12893
Gulf Shores,AL,Alabama,30.2759,-87.7013,12757
Jacksonville,AL,Alabama,33.8088,-85.7545,12544
Pell City,AL,Alabama,33.5609,-86.2669,12275
Leeds,AL,Alabama,33.5429,-86.5636,12040
Ozark,AL,Alabama,31.4508,-85.6473,11562
Saks,AL,Alabama,33.7118,-85.8536,10763
Fairfield,AL,Alabama,33.4747,-86.9194,10568
Pike Road,AL,Alabama,32.2934,-86.0902,10159
Clay,AL,Alabama,33.6976,-86.607,9923
Scottsboro,AL,Alabama,34.6438,-86.0491,9841
Robertsdale,AL,Alabama,30.5534,-87.7023,9817
Russellville,AL,Alabama,34.5056,-87.7282,9772
Boaz,AL,Alabama,34.1985,-86.1529,9704
Rainbow City,AL,Alabama,33.9337,-86.0922,9611
Pleasant Grove,AL,Alabama,33.4936,-86.9782,9604
Meadowbrook,AL,Alabama,33.3932,-86.7041,9387
Fultondale,AL,Alabama,33.6177,-86.8015,9284
Forestdale,AL,Alabama,33.5737,-86.9002,9273
Spanish Fort,AL,Alabama,30.7257,-87.8601,9214
Alexander City,AL,Alabama,32.9242,-85.9361,9046
Southside,AL,Alabama,33.9007,-86.0238,8905
Sheffield,AL,Alabama,34.757,-87.6977,8901
Bay Minette,AL,Alabama,30.893,-87.7912,8704
Guntersville,AL,Alabama,34.367,-86.2638,8571
Wetumpka,AL,Alabama,32.5407,-86.2052,8538
Eufaula,AL,Alabama,31.9102,-85.1505,8484
Tuscumbia,AL,Alabama,34.7204,-87.7035,8461
Arab,AL,Alabama,34.3309,-86.4991,8342
Tuskegee,AL,Alabama,32.4395,-85.7139,7870
Brook Highland,AL,Alabama,33.4359,-86.6849,7116
Pinson,AL,Alabama,33.7057,-86.6674,7106
Fort Payne,AL,Alabama,34.4557,-85.6965,7049
Moores Mill,AL,Alabama,34.8491,-86.5222,6815
Lincoln,AL,Alabama,33.5935,-86.1371,6781
Montevallo,AL,Alabama,33.1246,-86.8476,6738
Brewton,AL,Alabama,31.1111,-87.0737,6615
Meridianville,AL,Alabama,34.8729,-86.5722,6609
Hamilton,AL,Alabama,34.1346,-87.9755,6606
Theodore,AL,Alabama,30.5408,-88.1884,6483
Andalusia,AL,Alabama,31.3101,-86.4781,6407
Orange Beach,AL,Alabama,30.2941,-87.5851,6235
Satsuma,AL,Alabama,30.8577,-88.0632,6190
Lanett,AL,Alabama,32.8571,-85.2081,6151
Tarrant,AL,Alabama,33.5945,-86.7684,6109
Grayson Valley,AL,Alabama,33.6469,-86.6414,5986
Clanton,AL,Alabama,32.844,-86.623,5901
Atmore,AL,Alabama,31.0927,-87.4763,5864
Attalla,AL,Alabama,34.0049,-86.104,5771
Chickasaw,AL,Alabama,30.7714,-88.0793,5702
Demopolis,AL,Alabama,32.498,-87.8298,5701
Harvest,AL,Alabama,34.8558,-86.7521,5700
Semmes,AL,Alabama,30.7941,-88.2358,5594
Highland Lakes,AL,Alabama,33.397,-86.6497,5500
Greenville,AL,Alabama,31.8437,-86.6379,5477
Smiths Station,AL,Alabama,32.5284,-85.096,5391
Oneonta,AL,Alabama,33.9392,-86.4929,5382
Brent,AL,Alabama,32.9421,-87.1753,5302
Margaret,AL,Alabama,33.6735,-86.468,5137
Fort Rucker,AL,Alabama,31.3428,-85.7154,5134
Rainsville,AL,Alabama,34.4939,-85.8435,5123
Daleville,AL,Alabama,31.2915,-85.7117,5102
Glencoe,AL,Alabama,33.9449,-85.9319,5071
Midfield,AL,Alabama,33.4552,-86.9226,5002
Childersburg,AL,Alabama,33.2961,-86.3457,4837
Headland,AL,Alabama,31.3501,-85.3523,4712
Lake View,AL,Alabama,33.2802,-87.1258,4679
Opp,AL,Alabama,31.2848,-86.257,4612
Pine Level,AL,Alabama,32.5797,-86.4529,4574
Union Springs,AL,Alabama,32.1395,-85.7141,4547
Winfield,AL,Alabama,33.9334,-87.7962,4519
Argo,AL,Alabama,33.6961,-86.5066,4348
Priceville,AL,Alabama,34.5247,-86.8855,4291
Adamsville,AL,Alabama,33.6063,-86.9745,4281
Hokes Bluff,AL,Alabama,33.9902,-85.8639,4257
Redland,AL,Alabama,32.4754,-86.1375,4242
Monroeville,AL,Alabama,31.5162,-87.3279,4240
Woodstock,AL,Alabama,33.2193,-87.1489,4202
Roanoke,AL,Alabama,33.1454,-85.3694,4162
Holt,AL,Alabama,33.2302,-87.4827,4159
Holtville,AL,Alabama,32.6314,-86.3268,4133
Grand Bay,AL,Alabama,30.4717,-88.345,4090
Mount Olive,AL,Alabama,33.6778,-86.8726,4021
Alexandria,AL,Alabama,33.7675,-85.8792,4000
Haleyville,AL,Alabama,34.2331,-87.6175,3893
Odenville,AL,Alabama,33.6987,-86.4225,3893
Citronelle,AL,Alabama,31.0952,-88.2468,3861
Elba,AL,Alabama,31.4172,-86.0759,3811
Tallassee,AL,Alabama,32.5314,-85.8902,3773
Centre,AL,Alabama,34.1551,-85.6699,3762
Sumiton,AL,Alabama,33.7503,-87.0483,3741
Kimberly,AL,Alabama,33.776,-86.7968,3593
Valley Grande,AL,Alabama,32.4862,-87.0305,3570
Cottondale,AL,Alabama,33.1922,-87.4544,3469
Hazel Green,AL,Alabama,34.9237,-86.5671,3452
Ladonia,AL,Alabama,32.4609,-85.0877,3444
Hanceville,AL,Alabama,34.0634,-86.7651,3422
Heflin,AL,Alabama,33.6471,-85.5698,3409
Piedmont,AL,Alabama,33.9268,-85.6148,3408
West End-Cobb Town,AL,Alabama,33.6526,-85.8742,3346
Kinsey,AL,Alabama,31.2926,-85.3353,3341
Livingston,AL,Alabama,32.5982,-88.1891,3260
Warrior,AL,Alabama,33.8153,-86.8153,3210
Emerald Mountain,AL,Alabama,32.4396,-86.0857,3200
Underwood-Petersville,AL,Alabama,34.877,-87.6975,3196
Fayette,AL,Alabama,33.6943,-87.8307,3154
Marion,AL,Alabama,32.6318,-87.3172,3123
Red Bay,AL,Alabama,34.4358,-88.1362,3085
Weaver,AL,Alabama,33.7602,-85.8117,3061
Dadeville,AL,Alabama,32.8326,-85.7675,3053
Loxley,AL,Alabama,30.6813,-87.7418,3049
Thomasville,AL,Alabama,31.9111,-87.7419,2993
Springville,AL,Alabama,33.7643,-86.4749,2927
New Hope,AL,Alabama,34.537,-86.4128,2916
La Fayette,AL,Alabama,32.8997,-85.4007,2910
Columbiana,AL,Alabama,33.193,-86.6115,2864
Clayton,AL,Alabama,31.8822,-85.4604,2847
Brighton,AL,Alabama,33.4393,-86.9454,2775
Luverne,AL,Alabama,31.7186,-86.2687,2744
Moulton,AL,Alabama,34.4843,-87.2831,2726
Jemison,AL,Alabama,32.9696,-86.7339,2672
Moundville,AL,Alabama,32.9968,-87.6272,2612
Centreville,AL,Alabama,32.9597,-87.1334,2609
Eutaw,AL,Alabama,32.8436,-87.8987,2603
Jackson,AL,Alabama,31.5318,-87.8915,2593
Hartford,AL,Alabama,31.1055,-85.6916,2578
Abbeville,AL,Alabama,31.5664,-85.2528,2560
Indian Springs Village,AL,Alabama,33.3591,-86.7493,2559
